epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1568.64,0.75227,3.98883,0.33911,0.49271,1.14859,0.9691,0.968,0.98903,0.86409,0.84205,0.76767,0.78627,0.59126,0.65,2.46385,0.07878,0.34161,1.05525,0.008515,0.008515,0.008515
17,1665.7,0.75098,3.93464,0.33444,0.49063,1.14759,0.9601,0.96473,0.9879,0.86931,0.8243,0.75973,0.75556,0.57739,0.62318,2.49557,0.06953,0.35048,1.03276,0.008416,0.008416,0.008416
18,1762.15,0.74488,3.90438,0.32903,0.48827,1.14448,0.96076,0.97203,0.98874,0.86538,0.83694,0.7564,0.75507,0.57501,0.62451,2.41769,0.07735,0.34006,1.03231,0.008317,0.008317,0.008317
19,1858.55,0.74177,3.87554,0.32847,0.48562,1.13979,0.96699,0.96516,0.9892,0.87266,0.83078,0.7719,0.76775,0.58743,0.60808,2.38922,0.0702,0.32591,1.02373,0.008218,0.008218,0.008218
20,1954.89,0.7358,3.83262,0.32371,0.47906,1.13534,0.96429,0.97178,0.98975,0.87592,0.83877,0.77267,0.78851,0.60814,0.60925,2.32111,0.06689,0.32582,1.02019,0.008119,0.008119,0.008119
21,2051.31,0.72453,3.73826,0.32413,0.47229,1.13183,0.96917,0.97033,0.98952,0.87623,0.83016,0.77125,0.77339,0.60191,0.60356,2.34491,0.06721,0.32005,1.0187,0.00802,0.00802,0.00802
22,2147.72,0.72564,3.72329,0.31797,0.46792,1.12773,0.96711,0.97165,0.98988,0.88045,0.83532,0.7947,0.80042,0.62724,0.59856,2.226,0.06597,0.31654,1.01586,0.007921,0.007921,0.007921
23,2244.18,0.7192,3.66441,0.31539,0.45874,1.12441,0.97155,0.97272,0.98963,0.87772,0.83658,0.78855,0.7953,0.63103,0.59417,2.23433,0.0658,0.31354,1.00784,0.007822,0.007822,0.007822
24,2340.48,0.7202,3.66932,0.31329,0.46277,1.12718,0.96568,0.97707,0.99004,0.88032,0.84083,0.79329,0.80057,0.63379,0.59495,2.18915,0.06463,0.30958,1.01154,0.007723,0.007723,0.007723
25,2436.81,0.71347,3.62359,0.31036,0.45819,1.12367,0.96652,0.97616,0.99058,0.88436,0.85305,0.79627,0.81262,0.64606,0.58291,2.13066,0.06763,0.30476,1.00585,0.007624,0.007624,0.007624
26,2534.16,0.71294,3.58342,0.30757,0.45267,1.12049,0.97115,0.97424,0.99024,0.88497,0.84663,0.81091,0.8251,0.65797,0.5817,2.10206,0.06291,0.30273,1.00219,0.007525,0.007525,0.007525
27,2630.06,0.70824,3.52308,0.30205,0.45171,1.11702,0.9657,0.97631,0.98989,0.88526,0.83888,0.81429,0.81493,0.64924,0.58195,2.10105,0.06257,0.30598,1.00032,0.007426,0.007426,0.007426
28,2726.2,0.70683,3.52481,0.30145,0.44483,1.11883,0.97547,0.97221,0.99028,0.88586,0.84979,0.80423,0.81697,0.6609,0.58588,2.08321,0.05846,0.29985,1.00478,0.007327,0.007327,0.007327
29,2822.13,0.70055,3.50471,0.2978,0.44608,1.11252,0.97096,0.97622,0.99055,0.89326,0.84431,0.81055,0.82823,0.678,0.5741,2.08581,0.05823,0.29775,0.99708,0.007228,0.007228,0.007228
30,2918,0.69459,3.43993,0.2953,0.44025,1.11012,0.97323,0.97318,0.99068,0.89276,0.84129,0.80469,0.81696,0.66959,0.571,2.10119,0.05892,0.29241,0.99418,0.007129,0.007129,0.007129
31,3014.07,0.69473,3.4397,0.29543,0.44254,1.11312,0.97152,0.9742,0.99067,0.89291,0.8635,0.81019,0.83272,0.67989,0.56541,2.02338,0.05907,0.29153,0.99015,0.00703,0.00703,0.00703
32,3109.94,0.68586,3.40239,0.29094,0.43318,1.10621,0.97358,0.97677,0.99081,0.89137,0.85586,0.81365,0.82826,0.67614,0.56822,2.02106,0.05809,0.2899,0.99135,0.006931,0.006931,0.006931
33,3205.7,0.68874,3.39417,0.28835,0.43881,1.10853,0.97234,0.97714,0.99113,0.89464,0.85677,0.80673,0.82749,0.67829,0.5623,2.00645,0.05622,0.28655,0.98705,0.006832,0.006832,0.006832
34,3301.4,0.68697,3.37399,0.28872,0.43462,1.10601,0.97217,0.97426,0.99067,0.89346,0.84642,0.81032,0.82047,0.67996,0.56389,2.01465,0.0558,0.28639,0.98775,0.006733,0.006733,0.006733
35,3397.18,0.67986,3.37219,0.28246,0.42956,1.10104,0.97297,0.97736,0.99093,0.89666,0.85711,0.81433,0.83411,0.6899,0.55973,1.96789,0.05532,0.28284,0.98436,0.006634,0.006634,0.006634
36,3493.72,0.68265,3.30251,0.27969,0.43035,1.10169,0.9752,0.97704,0.99114,0.8969,0.85417,0.80565,0.82381,0.68581,0.55542,1.98507,0.05421,0.2799,0.98265,0.006535,0.006535,0.006535
37,3589.56,0.68318,3.33154,0.2802,0.42538,1.10421,0.97237,0.97874,0.9908,0.89719,0.85917,0.81341,0.83143,0.69076,0.55357,1.95487,0.05339,0.27718,0.98251,0.006436,0.006436,0.006436
38,3685.39,0.67663,3.27339,0.27527,0.4253,1.09987,0.97329,0.97861,0.99118,0.89847,0.85555,0.81545,0.83105,0.69078,0.5521,1.96641,0.05346,0.27698,0.98134,0.006337,0.006337,0.006337
39,3781.22,0.67465,3.26614,0.27539,0.42274,1.09669,0.97039,0.9813,0.99102,0.89879,0.85127,0.82103,0.83239,0.69428,0.54923,1.9456,0.05275,0.27618,0.97973,0.006238,0.006238,0.006238
40,3877.04,0.67054,3.25278,0.27428,0.42471,1.09848,0.96987,0.98194,0.99072,0.89727,0.85345,0.81893,0.83089,0.69385,0.54884,1.92616,0.05252,0.27692,0.97924,0.006139,0.006139,0.006139
41,3972.86,0.6665,3.20968,0.27215,0.41716,1.09604,0.96973,0.98076,0.99068,0.89927,0.85646,0.82287,0.83973,0.6996,0.54779,1.91055,0.05206,0.27556,0.97785,0.00604,0.00604,0.00604
42,4070.8,0.6636,3.1778,0.26884,0.41229,1.09249,0.96863,0.98063,0.99088,0.90012,0.86152,0.82467,0.84359,0.70442,0.54492,1.87916,0.05116,0.27363,0.97525,0.005941,0.005941,0.005941
43,4173.49,0.66264,3.16732,0.2701,0.4123,1.09223,0.9701,0.98064,0.99097,0.90037,0.86023,0.83397,0.85016,0.70746,0.54211,1.86496,0.0508,0.27094,0.97309,0.005842,0.005842,0.005842
44,4275.9,0.65853,3.13618,0.26688,0.41388,1.08952,0.97098,0.98169,0.99098,0.90243,0.86685,0.82941,0.85085,0.7095,0.5401,1.86176,0.05027,0.26923,0.97147,0.005743,0.005743,0.005743
45,4377.29,0.66047,3.10264,0.26251,0.41135,1.09053,0.97192,0.98105,0.99152,0.90314,0.86877,0.83427,0.85447,0.71253,0.53745,1.84562,0.04993,0.26761,0.96972,0.005644,0.005644,0.005644
46,4478.79,0.65448,3.08081,0.26238,0.40827,1.08937,0.97146,0.98098,0.99129,0.9041,0.87104,0.83555,0.85762,0.71707,0.53456,1.8331,0.04997,0.26725,0.96759,0.005545,0.005545,0.005545
47,4575.9,0.65603,3.0745,0.26158,0.41021,1.08758,0.97199,0.98066,0.99153,0.90408,0.86841,0.83422,0.8551,0.7159,0.53279,1.83044,0.04976,0.26591,0.96653,0.005446,0.005446,0.005446
48,4672.11,0.65365,3.04838,0.26071,0.4071,1.08955,0.97185,0.97989,0.99136,0.90438,0.86932,0.8324,0.85486,0.7159,0.53209,1.83156,0.04964,0.26496,0.96636,0.005347,0.005347,0.005347
49,4768.97,0.65003,3.04139,0.26088,0.40647,1.08598,0.97279,0.97987,0.99142,0.90498,0.87037,0.8298,0.85324,0.71521,0.53096,1.83323,0.04941,0.26363,0.96528,0.005248,0.005248,0.005248
50,4864.93,0.64059,2.95674,0.25924,0.40116,1.081,0.97317,0.98006,0.9915,0.90559,0.86968,0.82812,0.85207,0.716,0.52959,1.83516,0.04913,0.26265,0.96396,0.005149,0.005149,0.005149
51,4960.86,0.64291,2.90259,0.2574,0.39795,1.08074,0.97283,0.9812,0.99181,0.90603,0.87047,0.83054,0.85453,0.71804,0.52841,1.82468,0.04891,0.26204,0.96336,0.00505,0.00505,0.00505
52,5056.8,0.64766,2.88703,0.2543,0.40128,1.08307,0.97224,0.98169,0.99171,0.90632,0.86985,0.83119,0.85511,0.71956,0.52813,1.81877,0.04855,0.26168,0.96332,0.004951,0.004951,0.004951
53,5152.75,0.63747,2.86117,0.25385,0.39558,1.08031,0.97275,0.98143,0.99148,0.90684,0.86713,0.83363,0.85527,0.72052,0.52754,1.81763,0.04839,0.26124,0.9627,0.004852,0.004852,0.004852
